"tp_uso";"nm_uso";"APL-E";"APL-P";"ARR";"ARP";"ARM";"ATR";"AMC";"AMS";"ZEIS";"ARC";"ATL";"APT";"AUE"
Serviços;Serviços de alimentação;A-m;A-m;A-p;A-pp;A;A;A;A;A;A-p;P;A;A-m
Serviços;Atividades veterinárias;A-p;A-p;A-p;A-pp;A-m;A;A;A;A;A-4-pp;P;A;A-p
Serviços;Serviços bancário de autoatendimento e casas lotéricas;A-pp;A-pp;App;A;A;A;A;A;A-5;A-pp;A-pp;A;A-pp
Serviços;Serviços bancários - agências;P;P;P;P;A;A;A;A;A;P;A-pp;A;P
Serviços;Serviços de manutenção em geral;A-p;A-p;A-pp;A-pp;A;A-m;A;A;A;A-4-pp;P;A;A-p
Serviços;Serviços de manutenção pesada;P;P;A-6-m;P;A-m;P;A;A;P;P;P;P;P
Serviços;Estacionamentos;A;A;A-p;A;A;A;A;A;A-5;P;A;A;A
Serviços;Edifícios-garagem;P;P;P;P;A;P;A;A;P;P;P;A;P
Serviços;Garagens de frotas transportadoras e terminais de cargas;P;P;P;P;P;P;A-g;A;P;P;P;P;P
Serviços;Sedes de organizações associativas patronais empresariais profissionais e similares;A;A;P;A-pp;A;A;A;A;A;P;P;A;P
Serviços;Sedes de organizações sindicais políticas e similares;A-pp;A-pp;P;A-pp;A-m;P;A;A;A;P;P;A;P
Serviços;Sedes de organizações associativas de defesa de direitos sociais ambientais e similares;A;A;A-pp;A-pp;A-m;A;A;A;A;P;P;A;P
Industriais;Indústria extrativista;P;P;P;P;P;P;P;P;P;P;P;P;""
Industriais;Fábrica de conservas óleos e laticínios;A-p;A-p;A-6;P;A-m;A-pp;A-p;A;A-p;A-m;P;A;A-p
Industriais;Fábrica de farinha e derivados;A-p;A-p;A-6;P;A-m;A-pp;A-p;A;A-p;A-6-m;P;A;A-p
Industriais;Abatedouro e fábrica de produtos de carne;A-p;A-p;A-6;P;A-p;P;A-p;A;A-5-pp;A-6-pp;P;P;P
Industriais;Fábrica de produtos do pescado;A-p;A-p;A-6;A-p;A-m;A-p;A-m;A;A-p;A-6-p;P;A;P
Industriais;Fábrica e refino de açúcar torrefação e moagem de café;A-p;A-p;A-6;P;A-m;A-pp;A-p;A;A-p;A-6-pp;P;A;P
Industriais;Fábrica de outros produtos alimentícios;A-p;A-p;A-6;A-p;A-m;A-p;A-m;A;A-p;A-6-p;P;A;P
Industriais;Fábrica de bebidas;A-p;A-p;A-6;P;A-m;A-p;A-p;A;A-p;A-6-pp;P;A;A-p
Industriais;Fábrica de produtos do fumo;P;P;P;P;P;P;P;A;P;P;P;P;P
Industriais;Fábrica de produtos têxteis e confeccção de artigos do vestuário e acessórios;A-p;A-p;A-pp;A-pp;A-m;A-pp;A-p;A;A-p;P;P;A;A-p
Industriais;Curtimento e outras preparações de couros;P;P;A-6-p;A-pp;A-pp;P;A-p;A-p;A-p;P;P;P;P
Industriais;Fábrica de artefatos de couro artigos para viagem e calçados;A-p;A-p;A-pp;A-pp;A-m;A-pp;A-m;A;A-p;A-pp;P;A;A-p
Industriais;Fábrica de produtos de madeira exceto móveis;A-p;A-p;A-p;A-pp;A-p;A-pp;A-m;A;A-p;A-6;P;A;A-p
Industriais;Fábrica de celulose papel e produtos de papel;P;P;A-m;P;P;P;P;A;A-pp;P;P;P;P
Industriais;Impressão e reprodução de gravações;A-p;A-p;A-pp;A-pp;A;A-m;A;A;A-p;P;P;A;A-p
Industriais;Fábrica de coque de produtos derivados de petróleo e de biocombustíveis;P;P;P;P;P;P;P;P;P;P;P;P;P
Industriais;Fábrica de produtos químicos;P;P;P;P;P;P;P;A-8;P;P;P;A-8;P
